Date,Eco-Totem - Capital City Trail @ N. Shore Dr. ,Channel 1 IN (Eastbound) ,Channel 2 OUT (Westbound)
01/01/2016 12:00:00 AM,0,0,0
01/01/2016 12:15:00 AM,1,1,0
01/01/2016 12:30:00 AM,1,0,1
01/01/2016 12:45:00 AM,0,0,0
01/01/2016 01:00:00 AM,0,0,0
01/01/2016 01:15:00 AM,1,1,0
01/01/2016 01:30:00 AM,1,0,1
01/01/2016 01:45:00 AM,0,0,0
01/01/2016 02:00:00 AM,0,0,0
01/01/2016 02:15:00 AM,0,0,0
01/01/2016 02:30:00 AM,1,0,1
01/01/2016 02:45:00 AM,0,0,0
01/01/2016 03:00:00 AM,0,0,0
01/01/2016 03:15:00 AM,0,0,0
01/01/2016 03:30:00 AM,0,0,0
01/01/2016 03:45:00 AM,0,0,0
01/01/2016 04:00:00 AM,0,0,0
01/01/2016 04:15:00 AM,0,0,0
01/01/2016 04:30:00 AM,0,0,0
01/01/2016 04:45:00 AM,0,0,0
01/01/2016 05:00:00 AM,0,0,0
01/01/2016 05:15:00 AM,0,0,0
01/01/2016 05:30:00 AM,0,0,0
01/01/2016 05:45:00 AM,0,0,0
01/01/2016 06:00:00 AM,0,0,0
01/01/2016 06:15:00 AM,0,0,0
01/01/2016 06:30:00 AM,0,0,0
01/01/2016 06:45:00 AM,0,0,0
01/01/2016 07:00:00 AM,0,0,0
01/01/2016 07:15:00 AM,1,0,1
01/01/2016 07:30:00 AM,0,0,0
01/01/2016 07:45:00 AM,1,0,1
01/01/2016 08:00:00 AM,0,0,0
01/01/2016 08:15:00 AM,0,0,0
01/01/2016 08:30:00 AM,1,0,1
01/01/2016 08:45:00 AM,3,1,2
01/01/2016 09:00:00 AM,0,0,0
01/01/2016 09:15:00 AM,0,0,0
01/01/2016 09:30:00 AM,0,0,0
01/01/2016 09:45:00 AM,1,0,1
01/01/2016 10:00:00 AM,2,1,1
01/01/2016 10:15:00 AM,1,1,0
01/01/2016 10:30:00 AM,0,0,0
01/01/2016 10:45:00 AM,4,0,4
01/01/2016 11:00:00 AM,1,0,1
01/01/2016 11:15:00 AM,0,0,0
01/01/2016 11:30:00 AM,0,0,0
01/01/2016 11:45:00 AM,0,0,0
01/01/2016 12:00:00 PM,0,0,0
01/01/2016 12:15:00 PM,2,0,2
01/01/2016 12:30:00 PM,3,2,1
01/01/2016 12:45:00 PM,0,0,0
01/01/2016 01:00:00 PM,7,1,6
01/01/2016 01:15:00 PM,1,0,1
01/01/2016 01:30:00 PM,0,0,0
01/01/2016 01:45:00 PM,1,0,1
01/01/2016 02:00:00 PM,8,2,6
01/01/2016 02:15:00 PM,3,1,2
01/01/2016 02:30:00 PM,17,17,0
01/01/2016 02:45:00 PM,1,1,0
01/01/2016 03:00:00 PM,2,0,2
01/01/2016 03:15:00 PM,3,2,1
01/01/2016 03:30:00 PM,5,2,3
01/01/2016 03:45:00 PM,4,0,4
01/01/2016 04:00:00 PM,5,2,3
01/01/2016 04:15:00 PM,3,2,1
01/01/2016 04:30:00 PM,1,1,0
01/01/2016 04:45:00 PM,2,2,0
01/01/2016 05:00:00 PM,1,1,0
01/01/2016 05:15:00 PM,1,1,0
01/01/2016 05:30:00 PM,2,2,0
01/01/2016 05:45:00 PM,1,0,1
01/01/2016 06:00:00 PM,2,2,0
01/01/2016 06:15:00 PM,1,1,0
01/01/2016 06:30:00 PM,0,0,0
01/01/2016 06:45:00 PM,0,0,0
01/01/2016 07:00:00 PM,0,0,0
01/01/2016 07:15:00 PM,0,0,0
01/01/2016 07:30:00 PM,0,0,0
01/01/2016 07:45:00 PM,1,1,0
